menu,link,foods,foodsAmount,image,sauces,saucesAmount,memo
달걀볶음밥,https://www.youtube.com/watch?v=kR77WlHRZrs,"""대파,달걀""","""40g,2개""",EggFriedRice,"""식용유,진간장,맛소금""","""4큰술,1/2큰술,1g""",
초계라면,https://www.youtube.com/watch?v=EhTxL1sWnMI&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr,"""닭고기,오이,청양고추""","""50g,15g,1/3개""",ChogyeRamen,"""식초,설탕,겨자""","""3큰술,1/3큰술,1큰술""",
들기름막라면,https://www.youtube.com/watch?v=wTtHP5qFOio&list=PLoABXt5mipg6mIdGKBuJlv5tmQFAQ3OYr&index=3,"""쪽파""","""5g""",OilRamen,"""국간장,설탕,들기름""","""1큰술,1/4큰술,2큰술""",
치즈닭갈비,https://www.youtube.com/watch?v=MXuYLMtdfWc,"""닭고기,양파,대파,양배추""","""350g,1개,1대,1/4개""",CheeseDakgalbi,"""고추장,진간장,굴소스,설탕,고춧가루,다진마늘,후추""","""1스푼,1스푼,1스푼,2스푼,2스푼,1스푼,조금""",
애호박찌개,https://www.youtube.com/watch?v=MXuYLMtdfWc,"""돼지고기,양파,애호박""","""200g,1개,1/2개""",SquashSoup,"""식용유,고추장,다진마늘,고춧가루""","""2스푼,1스푼,1스푼,1스푼""",
돼지쌈장,https://www.youtube.com/watch?v=w99UZpoYoa8,"""돼지고기,양파,청양고추""","""500g,1/2개,2개""",PorkSsamjang,"""식용유,다진마늘,쌈장,돈가스소스,설탕,고춧가루""","""2스푼,2스푼,2스푼,2스푼,1스푼,1스푼""",
양파계란조림,https://www.youtube.com/watch?v=o9BHS3mavQ0&t=3s,"""달걀,양파""","""3개,1/2개""",OnionEggBoiled,"""식용유,고추장,굴소스,설탕,고춧가루,다진마늘""","""2스푼,1/2스푼,1스푼,1스푼,1스푼,1/2스푼""",
삼겹살구이,https://www.youtube.com/watch?v=JpP1b4zW0xg,"""돼지고기,마늘,꽈리고추""","""400g,1줌,1줌""",GrilledPork,"""멸치액젓,굴소스,설탕,식초,후추""","""1스푼,1스푼,1스푼,1스푼,조금""",
차돌밥,https://www.youtube.com/watch?v=Rhorjv__9_I,"""소고기,팽이버섯,쪽파,달걀""","""150g,1개,1단,1개""",BeefBrisketRice,"""진간장,설탕,고춧가루,식초,참기름,통깨""","""2스푼,1/2스푼,1스푼,1스푼,1스푼,1스푼""",
통마늘닭볶음,https://www.youtube.com/watch?v=pXdu3RtN3aE,"""닭고기,마늘,청양고추""","""350g,400g,2개""",StirFriedGarlicChicken,"""식용유,소금,굴소스,돈가스소스,설탕""","""2스푼,조금,1스푼,1스푼,1/2스푼""",
